index,username,tweet_id,tweet_text,translated_text,org_step_1,org_step_2,relevant,category,query,datetime_of_tweet,datetime_of_query,link,mentioned_location,location,image
00,naniiyw,1725075668948648072,"- อยากได้ทำเลเดินทางได้สะดวกใกล้รถไฟฟ้า มีส่วนกลางสวนที่กว้าง สามารถพักผ่อนหย่อนใจได้ในวันหยุด 
- ศุภาลัย ปาร์ค สถานีแยกไฟฉาย ( มีการจัดพื้นที่สีเขียวเข้ากับธรรมชาติ มีทางเดินเชื่อมกันระหว่างสองอาคาร )
- เช็คอินที่ศุภาลัย แต่โลเคชั่นหัวใจอยู่ที่หยิ่น
#SUPALAIxANKNOWNA #ANKNOWNA","- Want a location that is convenient to travel near the BTS. There is a wide central garden. Can relax on holidays
- Supalai Park, Yaek Fai Chai Station (there is a green area arranged to blend in with nature There is a walkway connecting the two buildings.)
- Check in at Supalai But the location of the heart is in the Yin.
#SUPALAIxANKNOWNA #ANKNOWNA",,,FALSE,ทางเท้า,"(""ทางเท้า"" OR ""ทางเดิน"" OR ""ฟุตบาท"") AND (""เศรษฐศิริ"" OR ""เสนานิคม"" OR ""เสรีไทย"" OR ""เสาชิงช้า"" OR ""เสือป่า"" OR ""เอกชัย"" OR ""เอกมัย"" OR ""แจ้งวัฒนะ"" OR ""แปลงนาม"" OR ""แฮปปี้แลนด์"" OR ""โชคชัย 4"" OR ""ไฟฉาย"")",2023-11-16 8:57:44,2023-11-16 16:38:12,https://twitter.com/naniiyw/status/1725075668948648072,ไฟฉาย,,
02,Dokkhunspa,1725021389995094305,"มอบสัมผัสความผ่อนคลาย
ด้วยการนวดตามแนวมัดกล้ามเนื้อ
และเส้นพลังงานในร่างกาย

ช่วยผ่อนคลายความตึงของกล้ามเนื้อ
จนตัวเบา นอนไม่หลับก็จะหลับสบายขึ้น
ทางเดินอาหารทำงานดีขึ้น ฮอร์โมนในร่างกายก็จะหลั่งปกติขึ้น 

สำรองคิว
086-0514933
 wanida-901
พิกัด : รัชดา66(วงศ์สว่าง)","Gives a feeling of relaxation
By massaging along the muscles.
and energy lines in the body

Helps relax muscle tension.
Until you feel light, if you can't sleep, you'll sleep better.
The digestive tract works better. Hormones in the body will secrete more normally.

Reserve a queue
086-0514933
 wanida-901
Location: Ratchada 66 (Wong Sawang)",,,FALSE,ทางเท้า,"(""ทางเท้า"" OR ""ทางเดิน"" OR ""ฟุตบาท"") AND (""ห้วยขวาง"" OR ""คลองสาน"" OR ""ตลิ่งชัน"" OR ""บางกอกน้อย"" OR ""บางขุนเทียน"" OR ""ภาษีเจริญ"" OR ""หนองแขม"" OR ""ราษฎร์บูรณะ"" OR ""บางพลัด"" OR ""ดินแดง"" OR ""บึงกุ่ม"" OR ""สาทร"" OR ""บางซื่อ"" OR ""จตุจักร"" OR ""บางคอแหลม"")",2023-11-16 5:22:03,2023-11-16 15:20:42,https://twitter.com/Dokkhunspa/status/1725021389995094305,วงศ์สว่าง,,
04,Cosmos85208587,1724914113246323042,"@ นักวาดภาพเพื่อชีวิต : Drawing For Survive @

จับดินสอจ่อกระดาษวาดเป็นรูป
แทนจุดธูปท่องบ่นบนบานขอ
ลงมือทำจ้ำจุดสีไม่รีรอ
มิยอมงอมือเท้าต้องก้าวไป

รับวาดภาพตามสั่งนั่งที่เก่า
บนทางเท้าทั้งวันมิหวั่นไหว
แม้สังขารผ่านมาชราวัย..
https://facebook.com/photo/?fbid=715909753917711&set=a.333494973909883…","@ Drawing For Survive : Drawing For Survive @

Hold a pencil to paper and draw a picture.
Instead of lighting incense and reciting vows
Do it without hesitation.
If you don't bend your hands and feet, you must move forward.

Accepting paintings to order, sitting in an old place.
On the sidewalk all day, unshakable
Even though the body has passed into old age..
https://facebook.com/photo/?fbid=715909753917711&set=a.333494973909883…",,,FALSE,ทางเท้า,"(""ทางเท้า"" OR ""ทางเดิน"" OR ""ฟุตบาท"") AND (""คลองตัน"" OR ""คลองเตย"" OR ""คอนแวนต์"" OR ""งามดูพลี"" OR ""งามวงศ์วาน"" OR ""จตุรทิศ"" OR ""จรัญสนิทวงศ์"" OR ""จอมทอง"" OR ""จักรวรรดิ"" OR ""จันทน์"" OR ""ชัยพฤกษ์"" OR ""ชิดลม"" OR ""ณ ระนอง"" OR ""ดาวคะนอง"" OR ""ดินสอ"")",2023-11-15 22:15:46,2023-11-16 15:34:00,https://twitter.com/Cosmos85208587/status/1724914113246323042,ดินสอ,,
07,CatsterClub,1724758071803801975," หาบ้านให้น้องแมว 
ชื่อนภ (ญ) น่าจะเกิด เม.ย.66 คุยเก่ง ฉีดวัคซีน ไข้หัดแมว ระบบทางเดินหายใจส่วนตัน ช่องปากและลิ้นอักเสบ + โรคพิษสุนัขบ้าแล้ว หนัก 2.6 kg กินเก่ง ตรวจเลือดแล้วไม่มีโรคใดๆ ถ่ายพยาธิแล้ว  เคยโดนข่วนกระจกตามา ตอนนี้รักษาหายแล้ว 
 พิกัด กทม. ถ.เจริญกรุง 107…"," Looking for a home for a cat
Name Nop (female), born in April 2023, good at talking, vaccinated against cat distemper, blocked respiratory system. Oral and tongue inflammation + rabies. Weight 2.6 kg. Eats well. Blood test shows no disease. Dewormed already Have you ever had your cornea scratched? Now it's cured.
 Location: Bangkok, Charoen Krung Road 107...",,,FALSE,ทางเท้า,"(""ทางเท้า"" OR ""ทางเดิน"" OR ""ฟุตบาท"") AND (""กรุงเทพ"" OR ""กทม"" OR ""ชัชชาติ"")",2023-11-15 11:55:43,2023-11-16 14:52:12,https://twitter.com/CatsterClub/status/1724758071803801975,เจริญกรุง,,
08,raininginthezye,1724686147941711882,คนชอบเดินไปนุ้นนี่ ไหว้พระ ถ่ายรูป อิไทยแลนด์ที่อากาศและทางเท้าไม่เอื้ออำนวยก็ลำบากมาก จนเดี๋ยวนี้ใช้ muvmi เกาะรัตนโกสินทร์จะไม่เป็นเหยื่อของตุ๊กๆ โขกเลือดอีกต่อไป วัดสุทัศน์ไปวัดโพธิ์วันนี้กดได้ 23 บาทเอง วันก่อน สีลมไปวัดแขก 25 บาทเอง แกร ดีใจ,"People like to walk here to worship and take photos. In Thailand, where the weather and sidewalks are not conducive, it is very difficult. Until now, using muvmi, Rattanakosin Island will not become a victim of tuk tuks. Pounding blood again Wat Suthat to Wat Pho today cost only 23 baht. The other day, from Silom to Wat Khaek it was only 25 baht. I'm happy.",,,FALSE,ทางเท้า,"(""ทางเท้า"" OR ""ทางเดิน"" OR ""ฟุตบาท"") AND (""สาทร"" OR ""สาทรเหนือ"" OR ""สาทรใต้"" OR ""สาธุประดิษฐ์"" OR ""สามย่าน"" OR ""สามเสน"" OR ""สายไหม"" OR ""สายไหม-ลำลูกกา"" OR ""สำเพ็ง"" OR ""สิรินธร"" OR ""สีลม"" OR ""สี่พระยา"" OR ""สุขสวัสดิ์"" OR ""สุขุมวิท"" OR ""สุทธิสาร"")",2023-11-15 7:09:55,2023-11-16 16:20:05,https://twitter.com/raininginthezye/status/1724686147941711882,สีลม,,
09,Zc_coolZ,1724595304811659605,"ปล่อยบัตรวันอาทิตย์บัตร 2500 โซน E3J แถว JK ที่นั่ง 21 (ริมทางเดิน) 

***นัดรับจ่ายสด MRT สิรินธร/เซ็นปิ่นค่ะ***

#FOLLOW_TO_BANGKOK #SVTinBKK #SEVENTEENinBKK","Sunday tickets released: 2500 tickets, zone E3J, row JK, seat 21 (along the aisle)

***Make an appointment to receive and pay cash at MRT Sirindhorn/Sen Pin***

#FOLLOW_TO_BANGKOK #SVTinBKK #SEVENTEENinBKK",,,FALSE,ทางเท้า,"(""ทางเท้า"" OR ""ทางเดิน"" OR ""ฟุตบาท"") AND (""สาทร"" OR ""สาทรเหนือ"" OR ""สาทรใต้"" OR ""สาธุประดิษฐ์"" OR ""สามย่าน"" OR ""สามเสน"" OR ""สายไหม"" OR ""สายไหม-ลำลูกกา"" OR ""สำเพ็ง"" OR ""สิรินธร"" OR ""สีลม"" OR ""สี่พระยา"" OR ""สุขสวัสดิ์"" OR ""สุขุมวิท"" OR ""สุทธิสาร"")",2023-11-15 1:08:56,2023-11-16 16:20:05,https://twitter.com/Zc_coolZ/status/1724595304811659605,สิรินธร,,
011,plasalidbangboe,1724468161968513056,"เมื่อweekที่แล้วเช่าสกู๊ตเตอร์ beam จากสยามสแควร์ไปสามย่านมิตรทาวน์ วิ่งเลียบฟุตบาทผ่านหน้าเตรียมแล้วจะเข้า ฬ ตรงสามแยกไฟแดง ตอนขี่ผ่านป้ายรถเมล์ตรงอุเทนถวายเจอพวกพรี่ๆยืนจ้องใครไม่รู้ประมาณเกือบสิบคน แล้วตอนนั้นตอนกลางคืน มีพรี่ยืนหลบอยู่หลังป้ายมุมมืดประมาณ5คน (ต่อ)
#อุเทนถวาย","Last week, I rented a beam scooter from Siam Square to Samyan Mitrtown. Run along the sidewalk, passing in front of you, preparing to enter the intersection at the red light intersection. While riding past the bus stop at Uthen Thawai, I encountered about ten people standing and staring at someone I don't know. And then at night There were about 5 people standing and hiding behind a sign in a dark corner. (Continued)
#Uthenthawai",,,FALSE,ทางเท้า,"(""ทางเท้า"" OR ""ทางเดิน"" OR ""ฟุตบาท"") AND (""สาทร"" OR ""สาทรเหนือ"" OR ""สาทรใต้"" OR ""สาธุประดิษฐ์"" OR ""สามย่าน"" OR ""สามเสน"" OR ""สายไหม"" OR ""สายไหม-ลำลูกกา"" OR ""สำเพ็ง"" OR ""สิรินธร"" OR ""สีลม"" OR ""สี่พระยา"" OR ""สุขสวัสดิ์"" OR ""สุขุมวิท"" OR ""สุทธิสาร"")",2023-11-14 16:43:43,2023-11-16 16:20:05,https://twitter.com/plasalidbangboe/status/1724468161968513056,สามย่าน,,
014,army2pr,1724273213423677919,กกล.สุรศักดิ์มนตรี ลาดตระเวนทางเท้าและใช้โดรนลาดตระเวนร่วมแนวชายแดน ไทย-สปป.ลาว #กองทัพภาคที่2,Surasakmontri Securities and Exchange Commission Pavement patrol and use of drones to patrol along the Thai-Lao PDR border #2nd Army Region,,,FALSE,ทางเท้า,"(""ทางเท้า"" OR ""ทางเดิน"" OR ""ฟุตบาท"") AND (""สุทธิสารวินิจฉัย"" OR ""สุนทรโกษา"" OR ""สุรวงศ์"" OR ""สุรศักดิ์"" OR ""สุวินทวงศ์"" OR ""สุโขทัย"" OR ""หนองจอก"" OR ""หนองแขม"" OR ""หน้าพระลาน"" OR ""หน้าวัง"" OR ""หลังสวน"" OR ""หลานหลวง"" OR ""หอวัง"" OR ""หัวลำโพง"" OR ""หัวหมาก"")",2023-11-14 3:49:04,2023-11-16 16:24:40,https://twitter.com/army2pr/status/1724273213423677919,สุรศักดิ์,,
017,fantasyj_,1724094477495840900,แถวสุขุมวิทนี่เป็นหมดไหมที่เดินสูบบุหรี่กับริมฟุตบาทแบบไม่สนไผ,Is there a place around Sukhumvit where people walk along the sidewalk smoking cigarettes without caring about anyone?,,,FALSE,ทางเท้า,"(""ทางเท้า"" OR ""ทางเดิน"" OR ""ฟุตบาท"") AND (""สาทร"" OR ""สาทรเหนือ"" OR ""สาทรใต้"" OR ""สาธุประดิษฐ์"" OR ""สามย่าน"" OR ""สามเสน"" OR ""สายไหม"" OR ""สายไหม-ลำลูกกา"" OR ""สำเพ็ง"" OR ""สิรินธร"" OR ""สีลม"" OR ""สี่พระยา"" OR ""สุขสวัสดิ์"" OR ""สุขุมวิท"" OR ""สุทธิสาร"")",2023-11-13 15:58:50,2023-11-16 16:20:05,https://twitter.com/fantasyj_/status/1724094477495840900,สุขุมวิท,,
020,arpagorn_u,1724033452847350126,"ขายบ้านเดี่ยว 3 ชั้น ถนนราชพฤกษ์ 
ใกล้วงเวียนพระราม 5 

 5 ห้องนอน  4 ห้องน้ำ  อ่างจากุซซี่ทุกห้อง

สวนหลังบ้านพื้นที่กว่า 50 ตรว. ตกแต่งทางเดิน ต้นไม้ พร้อมโดมใหญ่

 Glasshouse ชั้น 3 มีอ่างจากุซซี่ outdoor ขนาดใหญ่ พร้อมชุด rain shower ฝังฝ้าและเครื่องทำร้อน

35 MB","3-story detached house for sale, Ratchaphruek Road.
Near Rama 5 roundabout

 5 bedrooms, 4 bathrooms, Jacuzzi tub in every room

Back garden area over 50 sq m. Decorated with walkways, trees and a large dome.

 Glasshouse, 3rd floor, has a large outdoor jacuzzi with a rain shower set built into the ceiling and a heater.

35 MB",,,FALSE,ทางเท้า,"(""ทางเท้า"" OR ""ทางเดิน"" OR ""ฟุตบาท"") AND (""ยมราช"" OR ""ยานนาวา"" OR ""ยี่สิบสองกรกฎาคม"" OR ""รัชดา-ท่าพระ"" OR ""รัชดาภิเษก"" OR ""รางน้ำ"" OR ""ราชดำริ"" OR ""ราชดำเนินกลาง"" OR ""ราชดำเนินนอก"" OR ""ราชดำเนินใน"" OR ""ราชบพิธ"" OR ""ราชประสงค์"" OR ""ราชปรารภ"" OR ""ราชพฤกษ์"" OR ""ราชวิถี"")",2023-11-13 11:56:20,2023-11-16 16:01:37,https://twitter.com/arpagorn_u/status/1724033452847350126,ราชพฤกษ์,,
