index,username,tweet_id,tweet_text,translated_text,org,relevant,category,query,datetime_of_tweet,datetime_of_query,link,mentioned_location,location,image,Chadchad
394,baimaibaijai,1713612878694203433,ร้านในบรรทัดทองเอาโต๊ะเก้าอี้มาวางบนทางเท้าได้เลยหรอ ทำไมไม่มีใครมาควบคุมบ้างเลย อย่าเอาแต่ได้กันเลย ขอที่ให้คนเดินโล่งๆบ้างได้ ทุกวันนี้ก็แน่นจะแย่อยู่แล้ว คนเดินเยอะกิจการก็ดีตามอ่ะ ฝากผู้ว่า @chadchart_trip ช่วยกวดขันหน่อย #ชัชชาติ #บรรทัดทอง,"Can shops in Banthat Thong put tables and chairs on the sidewalk? Why isn't anyone taking control? Don't just take it. I wish there was room for people to walk around. Nowadays, it's already crowded and getting worse. There are a lot of people walking and business is good. Leave it to the governor @chadchart_trip Please be careful. #Chatchat #Bantadthong",municipal office,TRUE,ทางเท้า,"(""ทางเท้า"" OR ""ทางเดิน"" OR ""ฟุตบาท"") AND (""กรุงเทพ"" OR ""กทม"" OR ""ชัชชาติ"")",2023-10-15 17:48:42,2023-11-16 14:52:12,https://twitter.com/baimaibaijai/status/1713612878694203433,บรรทัดทอง,,[],no
398,wwmmwmmw88,1713583526434758688,เอาดีๆควรมีการจัดการอะไรตรงห้วยขวางบ้างอะ ไม่ให้ขายบนฟุตบาทก็มาจายตรงถนน รถก็ไปมาไม่สะดวก แบบงงงมาก อารัยวะ,"Well, what kind of management should there be at Huai Khwang? Not allowed to be sold on the sidewalk, distributed right on the road. The car was inconvenient to come and go, very confusing. What?",municipal office,TRUE,ทางเท้า,"(""ทางเท้า"" OR ""ทางเดิน"" OR ""ฟุตบาท"") AND (""ห้วยขวาง"" OR ""คลองสาน"" OR ""ตลิ่งชัน"" OR ""บางกอกน้อย"" OR ""บางขุนเทียน"" OR ""ภาษีเจริญ"" OR ""หนองแขม"" OR ""ราษฎร์บูรณะ"" OR ""บางพลัด"" OR ""ดินแดง"" OR ""บึงกุ่ม"" OR ""สาทร"" OR ""บางซื่อ"" OR ""จตุจักร"" OR ""บางคอแหลม"")",2023-10-15 15:52:04,2023-11-16 15:20:42,https://twitter.com/wwmmwmmw88/status/1713583526434758688,ห้วยขวาง,,[],no
463,katkuma,1711214667060887655,ข้อดีคือขนมอร่อย แบบใต้เลย ข้อเสีย ร้านแม่งตั้งขายอยู่บนฟุตบาท เอาเป็นว่า 2-3 เดือนมานี้ ร้านขายบนฟุตบาทถนนบรรทัดทอง ผุดเป็นดอกเห็ด ก็สงสัยเหมือนกันว่าไม่มีใครจัดการหรอ,"The advantage is that the desserts are delicious, Southern style. The disadvantage is that the shop sells them on the sidewalk. Let's say that for the past 2-3 months, the shop has been selling on the sidewalk on Banthat Thong Road. spring up like mushrooms I also wonder if no one is managing it.",municipal office,TRUE,ทางเท้า,"(""ทางเท้า"" OR ""ทางเดิน"" OR ""ฟุตบาท"") AND (""นครสวรรค์"" OR ""นครไชยศรี"" OR ""นนทรี"" OR ""นราธิวาสราชนครินทร์"" OR ""นวมินทร์"" OR ""นวลจันทร์"" OR ""นักกีฬาแหลมทอง"" OR ""นางลิ้นจี่"" OR ""นานา"" OR ""บรมราชชนนี"" OR ""บรรทัดทอง"" OR ""บางกอกน้อย"" OR ""บางกะปิ"" OR ""บางขุนนนท์"" OR ""บางขุนพรหม"")",2023-10-09 2:59:04,2023-11-16 15:43:02,https://twitter.com/katkuma/status/1711214667060887655,บรรทัดทอง,,[],no
499,baimaibaijai,1709880935393685906,ร้านที่ตั้งโต๊ะบนทางเท้าพวกคุณเห็นแก่ตัวไปไหม โดยเฉพาะเวลาฝนตก แทนที่คนจะได้เดินหลบในร่มง่ายๆ ต้องลงไปเดินเปียกบนถนนเพราะคุณเอาของมาวางตั้งบนทางเท้าเต็มไปหมด เห็นแก่ตัว! #บรรทัดทอง #ชัชชาติ,"The shops that set up tables on the sidewalk, are you being selfish? Especially when it rains Instead of people being able to easily walk and hide in the shade. Having to walk wet on the street because you put things all over the sidewalk. Selfish! #Bantadthong #Chatchat",municipal office,TRUE,ทางเท้า,"(""ทางเท้า"" OR ""ทางเดิน"" OR ""ฟุตบาท"") AND (""กรุงเทพ"" OR ""กทม"" OR ""ชัชชาติ"")",2023-10-05 10:39:17,2023-11-16 14:52:12,https://twitter.com/baimaibaijai/status/1709880935393685906,บรรทัดทอง,,[],no
568,deeplymorbid,1708458784883200260,เอาดีๆ สีลมมันคนเยอะ แล้วทางเท้าจริงๆ ของมันก็พอให้คนเดินอยู่นะ แต่พอมีขายของกินไปครึ่งนึง มันก็ไม่พอเดินดิ มันก้ต้องลงถนนป่ะ แร้วความผิดกุอ้อที่ต้องไปลงถน,"Let's face it, Silom is crowded. And it's really a sidewalk. It's enough for people to walk around. But when there was food for sale, half of it It's not enough to walk. Does it have to go down the road? It's a mistake to have to go down the road.",municipal office,TRUE,ทางเท้า,"(""ทางเท้า"" OR ""ทางเดิน"" OR ""ฟุตบาท"") AND (""สาทร"" OR ""สาทรเหนือ"" OR ""สาทรใต้"" OR ""สาธุประดิษฐ์"" OR ""สามย่าน"" OR ""สามเสน"" OR ""สายไหม"" OR ""สายไหม-ลำลูกกา"" OR ""สำเพ็ง"" OR ""สิรินธร"" OR ""สีลม"" OR ""สี่พระยา"" OR ""สุขสวัสดิ์"" OR ""สุขุมวิท"" OR ""สุทธิสาร"")",2023-10-01 12:28:10,2023-11-16 16:20:05,https://twitter.com/deeplymorbid/status/1708458784883200260,สีลม,,[],no
608,PHETSIAM,1706980032848318950,แยกอโศก มีกลุ่มรถเข็น มาตั้งขายของกันเยอะขึ้นแล้วนะ ถ้าปล่อยไว้นานๆ ก็จะเต็มทางเดินเหมือนเมื่อก่อน,Asoke intersection has a group of wheelchairs. We've come to sell more and more things. If you leave it for a long time The walkway will be full like before.,municipal office,TRUE,ทางเท้า,"(""ทางเท้า"" OR ""ทางเดิน"" OR ""ฟุตบาท"") AND (""อนุสาวรีย์ชัยฯ"" OR ""อรุณอมรินทร์"" OR ""อังรีดูนังต์"" OR ""อัสสัมชัญ"" OR ""อาจณรงค์"" OR ""อิสรภาพ"" OR ""อุดมสุข"" OR ""อู่ทองนอก"" OR ""อู่ทองใน"" OR ""อโศก-ดินแดง"" OR ""อโศก-เพชรบุรี"" OR ""อโศก"" OR ""อ่อนนุช"" OR ""เกษมราษฎร์"" OR ""เกียกกาย"")",2023-09-27 10:32:08,2023-11-16 16:29:11,https://twitter.com/PHETSIAM/status/1706980032848318950,อโศก,,['https://pbs.twimg.com/media/F7BpSW0aoAAPsCF?format=jpg&name=small'],no
690,tookta1957,1706174313806893511,เขตป้อมปราบศัตรูพ่าย เยอะนะคะ ถนนทุกสายรอบวงเวียน22กรกฎา ผู้มีอิทธิพล ต่อเติม ขายอาหารบนถนน และฟุตบาท ถนนสันติภาพ ทางเท้า คือ ที่ซ่อมรถ เปลี่ยนยาง มานานแสนนาน ยังอยู่มากมาย รอบวงเวียนทุกถนน,"Pom Prap Sattru Phai District has a lot of them. Every road around the 22 July roundabout has influential people making additions, selling food on the road, and the sidewalk. Santiphap Road. The sidewalk has been a place for car repairs and tire changes for a long time. There are still a lot of them. Around every roundabout on every road",municipal office,TRUE,ทางเท้า,"(""ทางเท้า"" OR ""ทางเดิน"" OR ""ฟุตบาท"") AND (""พระนคร"" OR ""หนองจอก"" OR ""บางรัก"" OR ""บางเขน"" OR ""บางกะปิ"" OR ""ปทุมวัน"" OR ""ป้อมปราบศัตรูพ่าย"" OR ""พระโขนง"" OR ""มีนบุรี"" OR ""ลาดกระบัง"" OR ""ยานนาวา"" OR ""สัมพันธวงศ์"" OR ""พญาไท"" OR ""ธนบุรี"" OR ""บางกอกใหญ่"")",2023-09-25 5:10:30,2023-11-16 15:16:13,https://twitter.com/tookta1957/status/1706174313806893511,ป้อมปราบศัตรูพ่าย,,[],no
692,chtipnkel1,1706122528195010868,ว่างๆไปดูตามซอยต่างๆด้วย ที่เห็นคือ ซอย จรัญสนิทวงศ์ 22 หน้าวัดอัมพวา บนทางเท้าพ่อค้าแม่ค้าสร้างเพิงขายของถาวร จนประชาชน และเด็กนักเรียนต้องเดินบนพื้นถนน เสี่ยงรถชนมาก.,"If you have free time, go look at various alleys as well. What you see is Soi Charansanitwong 22 in front of Amphawa Temple. On the sidewalks, vendors built permanent shacks to sell their wares, causing citizens and schoolchildren to walk on the pavement. High risk of car crash.",municipal office,TRUE,ทางเท้า,"(""ทางเท้า"" OR ""ทางเดิน"" OR ""ฟุตบาท"") AND (""คลองตัน"" OR ""คลองเตย"" OR ""คอนแวนต์"" OR ""งามดูพลี"" OR ""งามวงศ์วาน"" OR ""จตุรทิศ"" OR ""จรัญสนิทวงศ์"" OR ""จอมทอง"" OR ""จักรวรรดิ"" OR ""จันทน์"" OR ""ชัยพฤกษ์"" OR ""ชิดลม"" OR ""ณ ระนอง"" OR ""ดาวคะนอง"" OR ""ดินสอ"")",2023-09-25 1:44:43,2023-11-16 15:34:00,https://twitter.com/chtipnkel1/status/1706122528195010868,จรัญสนิทวงศ์,,['https://pbs.twimg.com/media/F61FtTvX0AAUsKn.jpg'],no
801,wisan399,1704132465781272779,"ที่เยาวราช
ตอนกลางคืน
มันไม่ได้แค่ตั้ง
ขายบนฟุตบาทนะ
แต่ตั้งขาย
กันบนถนนเลยทีเดียว
ดื่มสุรากัน
กลาดเกลื่อน
ผมเกลียดเศรษฐกิจท่องเที่ยวมาก
ถ้าอยากมีสัมมาอาชีวะ
ต้องเศรษฐกิจสร้างสรรค์","At Yaowarat
at night
It's not just set.
Selling on the sidewalk
But set up for sale
Together on the road.
Let's drink alcohol.
all over
I really hate the tourist economy.
If you want to have a right livelihood
Must be a creative economy",municipal office,TRUE,ทางเท้า,"(""ทางเท้า"" OR ""ทางเดิน"" OR ""ฟุตบาท"") AND (""เจริญกรุง"" OR ""เจริญนคร"" OR ""เจริญราษฎร์"" OR ""เชื้อเพลิง"" OR ""เตาปูน"" OR ""เทพลีลา"" OR ""เทียมร่วมมิตร"" OR ""เพชรบุรี"" OR ""เพชรเกษม"" OR ""เพลินจิต"" OR ""เยาวราช"" OR ""เย็นอากาศ"" OR ""เลียบทางด่วน"" OR ""เลียบด่วน"" OR ""เลียบทางด่วนเอกมัย-รามอินทรา"")",2023-09-19 13:56:55,2023-11-16 16:34:05,https://twitter.com/wisan399/status/1704132465781272779,เยาวราช,,[],no
762,bongtao,1.73E+18,"อีกอย่างที่เปลี่ยนไปในบรรทัดทองคือ เริ่มมีรถเข็นมาตั้งขายอาหารบนฟุตบาทมากขึ้นเรื่อยๆ (แค่ที่ร้านห้องแถวตั้งโต๊ะเลยออกมาก็เยอะแล้ว) ส่วนใหญ่จะตั้งหน้าร้านที่ไม่ใช่ร้านอาหารซึ่งจะปิดตอนกลางคืน

ทางเดินฟุตบาทตอนนี้บางช่วงคือหายไปครึ่งนึง","Another thing that has changed in Banthat Thong is More and more carts are beginning to be set up to sell food on the sidewalk. (Just at shophouse shops, there are a lot of tables out there.) Most of them are set up in front of shops that aren't restaurants, which are closed at night.

The footpath is now half gone.",municipal office,TRUE,ทางเท้า,"(""ทางเท้า"" OR ""ทางเดิน"" OR ""ฟุตบาท"") AND (""นครสวรรค์"" OR ""นครไชยศรี"" OR ""นนทรี"" OR ""นราธิวาสราชนครินทร์"" OR ""นวมินทร์"" OR ""นวลจันทร์"" OR ""นักกีฬาแหลมทอง"" OR ""นางลิ้นจี่"" OR ""นานา"" OR ""บรมราชชนนี"" OR ""บรรทัดทอง"" OR ""บางกอกน้อย"" OR ""บางกะปิ"" OR ""บางขุนนนท์"" OR ""บางขุนพรหม"")",2023-11-24 1:22:27,2024-02-20 21:23:00,https://twitter.com/bongtao/status/1727860198075970040,บรรทัดทอง,,['https://pbs.twimg.com/media/F_mOMkSawAAp0gW?format=jpg&name=small'],no
