index,username,tweet_id,tweet_text,org,relevant,category,query,datetime_of_tweet,datetime_of_query,link,mentioned_location,location,image
40,dohyunjinmin,1723873392980578712,เคยเดินจาก bts วัดพระศรีฯไปสายสีแดงหลักสี่ ระยะทางไม่ใช่ปัญหาสำหรับชั้นเลยแต่ทางเท้าตรงสะพานข้ามคลองตรงสถานีพระนครสุดเกิ้น มีทางเดินเรียบกับสะพานแต่เป็นทางปิดไม่มีทางออกถนนค่ะ งง ด้วยความห้าวหาญกุก็ปีนข้ามแม่ง,department of public work,TRUE,ทางเท้า,"(""ทางเท้า"" OR ""ทางเดิน"" OR ""ฟุตบาท"") AND (""ประเวศ"" OR ""คลองเตย"" OR ""สวนหลวง"" OR ""จอมทอง"" OR ""ดอนเมือง"" OR ""ราชเทวี"" OR ""ลาดพร้าว"" OR ""วัฒนา"" OR ""บางแค"" OR ""หลักสี่"" OR ""สายไหม"" OR ""คันนายาว"" OR ""สะพานสูง"" OR ""วังทองหลาง"" OR ""คลองสามวา"")",2023-11-13 1:20:19,2023-11-16 15:25:10,https://twitter.com/dohyunjinmin/status/1723873392980578712,พระนคร,0,[]
48,Simmons37496127,1723769675656679557,เคยเดินจากเซนทรัลลาดพร้าวไปพหลโยธิน 34  คือไม่ไหวพังมาก  อากาศที่ กทม คือ ไม่น่าเดินด้วยแหละแต่อะไรก็ไม่หนักเท่ามอไซที่ขับขึ้นฟุตบาต  เเล้วมองเเรงเหมือนเราเกะกะทั้งๆที่มันคือทางเดิน   อันนี้คือแก้ยากสุด,police department,TRUE,ทางเท้า,"(""ทางเท้า"" OR ""ทางเดิน"" OR ""ฟุตบาท"") AND (""กรุงเทพ"" OR ""กทม"" OR ""ชัชชาติ"")",2023-11-12 18:28:11,2023-11-16 14:52:12,https://twitter.com/Simmons37496127/status/1723769675656679557,ลาดพร้าว,,[]
56,xbiiryxxn,1723707515551314342,เคยเดินจากห้วยขวางไปสุทธิสาร สรุปเดินเหยียบฟุตบาทที่มีน้ำขังกระเด็นใส่ คือเหม็นมากกก รองเท้ากางเกงเละหมด จบชีวิตนักสู้,department of public work,TRUE,ทางเท้า,"(""ทางเท้า"" OR ""ทางเดิน"" OR ""ฟุตบาท"") AND (""ห้วยขวาง"" OR ""คลองสาน"" OR ""ตลิ่งชัน"" OR ""บางกอกน้อย"" OR ""บางขุนเทียน"" OR ""ภาษีเจริญ"" OR ""หนองแขม"" OR ""ราษฎร์บูรณะ"" OR ""บางพลัด"" OR ""ดินแดง"" OR ""บึงกุ่ม"" OR ""สาทร"" OR ""บางซื่อ"" OR ""จตุจักร"" OR ""บางคอแหลม"")",2023-11-12 14:21:11,2023-11-16 15:20:42,https://twitter.com/xbiiryxxn/status/1723707515551314342,ห้วยขวาง,,[]
62,BAROCTARISREAL,1723676568256680410,อยู่เกาหลีเดินสะบัด แดกเท่าไหรก็ นน ไม่ขึ้น กลับมาไทยคือพยายามจะเดินมาก จากพระราม 9ไปห้วยขวางนี้ก็เดิน สรุปนอกจากเหงื่อหยา ร้อนระอุ กลับมาจมูกพังเพราะฝุ่นแน่นเกิน ที่พีคกว่าคือทางที่เดินไปนั้น เหมือนปฏิบัติภารกิจในเกมส์มาก ทางเท้าวาไรตี้สุด ไม่ตกท่อก็เหยียบน้ำขัง,department of public work,TRUE,ทางเท้า,"(""ทางเท้า"" OR ""ทางเดิน"" OR ""ฟุตบาท"") AND (""ห้วยขวาง"" OR ""คลองสาน"" OR ""ตลิ่งชัน"" OR ""บางกอกน้อย"" OR ""บางขุนเทียน"" OR ""ภาษีเจริญ"" OR ""หนองแขม"" OR ""ราษฎร์บูรณะ"" OR ""บางพลัด"" OR ""ดินแดง"" OR ""บึงกุ่ม"" OR ""สาทร"" OR ""บางซื่อ"" OR ""จตุจักร"" OR ""บางคอแหลม"")",2023-11-12 12:18:12,2023-11-16 15:20:42,https://twitter.com/BAROCTARISREAL/status/1723676568256680410,ห้วยขวาง,,[]
68,ssssxsaii,1723591895224656205,"บรรทัดทองจะน่าเดินกว่านี้ถ้า
-ทำทางเดินใหม่ไม่ให้แผ่นที่พื้นกระดก
-ไม่มีท่อจากน้ำแอร์หยดใส่หัวข้างบน
-ไม่ทิ้งของเสียลงท่อตรงๆ
-ร้านค้าไม่ตั้งบนทางเท้า

หดหู่ทุกครั้งที่ต้องเดินผ่านทางเดินที่บรรทัดทอง ทั้งที่ร้านอร่อยๆเยอะมาก ของกินเยอะ แต่ทางอุบาดมาก",municipal office,TRUE,ทางเท้า,"(""ทางเท้า"" OR ""ทางเดิน"" OR ""ฟุตบาท"") AND (""นครสวรรค์"" OR ""นครไชยศรี"" OR ""นนทรี"" OR ""นราธิวาสราชนครินทร์"" OR ""นวมินทร์"" OR ""นวลจันทร์"" OR ""นักกีฬาแหลมทอง"" OR ""นางลิ้นจี่"" OR ""นานา"" OR ""บรมราชชนนี"" OR ""บรรทัดทอง"" OR ""บางกอกน้อย"" OR ""บางกะปิ"" OR ""บางขุนนนท์"" OR ""บางขุนพรหม"")",2023-11-12 6:41:45,2023-11-16 15:43:02,https://twitter.com/ssssxsaii/status/1723591895224656205,บรรทัดทอง,,[]
79,Catter65422769,1723250389422916009,"ความปลอดภัยของแทร่

งานปรับปรุงทางเท้าใหม่ 
ถนนสุทธิสารวินิจฉัย ช่วงจากถนนพหลโยธิน-ถนนวิภาวดีรังสิต วงเงิน 10.8 ล้าน ของสำนักการโยธา กทม. 
ทำสัญญาพฤษภา 66 กำหนดสิ้นสุดกันยา 66 ทำ ๆ หยุด ๆ ไม่เสร็จสักที ล่าสุดทิ้งไปเป็นเดือน ปล่อยคงสภาพไว้อย่างที่เห็น...

.. หมาเฝ้าบ้าน",department of public work,TRUE,ทางเท้า,"(""ทางเท้า"" OR ""ทางเดิน"" OR ""ฟุตบาท"") AND (""กรุงเทพ"" OR ""กทม"" OR ""ชัชชาติ"")",2023-11-11 8:04:43,2023-11-16 14:52:12,https://twitter.com/Catter65422769/status/1723250389422916009,พหลโยธิน,,['https://pbs.twimg.com/media/F-o3GBcawAAcf50?format=jpg&name=small']
80,yakult_cool,1723223303090004374,"เส้นสุขุมวิทเป็นอะไรที่WTF มาก เมื่อเช้าต้นสุขุมวิทเจอเลนซ้ายจอดซื้อของกินริมฟุตบาทเป็นแถว ต่อมาซ.27ก่อนเอ็มควอเทียร์ รถตู้ทึบขาวจอดส่งของ ไม่แคร์แม้รถจะติดแค่ไหนกูใคร่จอดก็จอด เหี้ยมาก เลยมาอีกนิดก่อนเอกมัย รถยนต์อยู่เลน2ยูเทิร์นกลับไปอีกฝั่งแบบไม่แคร์รถหลังเบรคหัวทิ่ม
เหนื่อยใจ",police department,TRUE,ทางเท้า,"(""ทางเท้า"" OR ""ทางเดิน"" OR ""ฟุตบาท"") AND (""สาทร"" OR ""สาทรเหนือ"" OR ""สาทรใต้"" OR ""สาธุประดิษฐ์"" OR ""สามย่าน"" OR ""สามเสน"" OR ""สายไหม"" OR ""สายไหม-ลำลูกกา"" OR ""สำเพ็ง"" OR ""สิรินธร"" OR ""สีลม"" OR ""สี่พระยา"" OR ""สุขสวัสดิ์"" OR ""สุขุมวิท"" OR ""สุทธิสาร"")",2023-11-11 6:17:06,2023-11-16 16:20:05,https://twitter.com/yakult_cool/status/1723223303090004374,สุขุมวิท,,[]
93,akdmaum,1722923722540298508,"ฝนลงทุกวันในอาทิตย์ที่ฉันไม่มีรถแล้วต้องลงรถเมเดินเข้าร้าน 
ทางเดินในอุดมสุขก็นะ ทั้งต้นไม้ขวาง ทั้งอิฐหาย",department of public work,TRUE,ทางเท้า,"(""ทางเท้า"" OR ""ทางเดิน"" OR ""ฟุตบาท"") AND (""อนุสาวรีย์ชัยฯ"" OR ""อรุณอมรินทร์"" OR ""อังรีดูนังต์"" OR ""อัสสัมชัญ"" OR ""อาจณรงค์"" OR ""อิสรภาพ"" OR ""อุดมสุข"" OR ""อู่ทองนอก"" OR ""อู่ทองใน"" OR ""อโศก-ดินแดง"" OR ""อโศก-เพชรบุรี"" OR ""อโศก"" OR ""อ่อนนุช"" OR ""เกษมราษฎร์"" OR ""เกียกกาย"")",2023-11-10 10:26:40,2023-11-16 16:29:11,https://twitter.com/akdmaum/status/1722923722540298508,อุดมสุข,,org_step_2
98,Sirilapas_mfp,1722825094144413957,"ประสานงานแก้ไขสำเร็จ

หลังจากได้รับแจ้งจากประชาชนที่ในพื้นที่ว่ามีสิ่งของล้ำฟุตบาทกีดขวางทางเดินบริเวณต้นซอย รามคำแหง99 หมิวจึงประสานงานไปยังฝ่ายเทศกิจสำนักงานเขตบางกะปิ…",department of public work,TRUE,ทางเท้า,"(""ทางเท้า"" OR ""ทางเดิน"" OR ""ฟุตบาท"") AND (""ราชินี"" OR ""รามคำแหง"" OR ""รามคำแหง-ศรีนครินทร์"" OR ""รามอินทรา"" OR ""ราษฎร์บูรณะ"" OR ""ร่มเกล้า"" OR ""ร่มเกล้า-สุวินทวงศ์"" OR ""ลาซาล"" OR ""ลาซาล-แบริ่ง"" OR ""ลาดกระบัง"" OR ""ลาดปลาเค้า"" OR ""ลาดพร้าว"" OR ""ลาดพร้าววังหิน"" OR ""ลาดหญ้า"" OR ""วงศ์สว่าง"")",2023-11-10 3:54:45,2023-11-16 16:06:14,https://twitter.com/Sirilapas_mfp/status/1722825094144413957,บางกะปิ,,['https://pbs.twimg.com/media/F-i0SslaIAAVPhG?format=jpg&name=small']
104,TrueDemocracy14,1722637055271088463,ตอนนี้เห็นรถมอไซค์วิ่งบนฟุตบาททางเคนดินแแถวบางเขนเยอะทุกวัน ไม่รู้นโยบายจับแบบตอนนั้นยังมีอยู่หรือป้าว? ตอนแรกๆเห็นมีโต๊ะเทศกิจมาค่อยจับ ตอนนี้ไม่มีแล้ว,police department,TRUE,ทางเท้า,"(""ทางเท้า"" OR ""ทางเดิน"" OR ""ฟุตบาท"") AND (""พระนคร"" OR ""หนองจอก"" OR ""บางรัก"" OR ""บางเขน"" OR ""บางกะปิ"" OR ""ปทุมวัน"" OR ""ป้อมปราบศัตรูพ่าย"" OR ""พระโขนง"" OR ""มีนบุรี"" OR ""ลาดกระบัง"" OR ""ยานนาวา"" OR ""สัมพันธวงศ์"" OR ""พญาไท"" OR ""ธนบุรี"" OR ""บางกอกใหญ่"")",2023-11-09 15:27:33,2023-11-16 15:16:13,https://twitter.com/TrueDemocracy14/status/1722637055271088463,บางเขน,,[]
