ticket_id,type,organization,comment,coords,photo,photo_after,address,subdistrict,district,province,timestamp,state,star,count_reopen,last_activity
2024-4BE8VT,{ถนน},เขตบางกอกน้อย,"ทางเลี้ยวซ้ายเข้าซอยจรัญสนิทวงศ์35แยก11
เข้าออกลำบากมาก เพราะว่าทางหอพักข้างหน้ามีการทำที่กั้นตรงมุมถนนแบบเหลี่ยมมุมฉาก","100.46572,13.75903",https://storage.googleapis.com/traffy_public_bucket/attachment/2024-03/c7919930f5dce5a338a14e701e4cf01010664a6e.jpg,,599 ซอย จรัญสนิทวงศ์ 35 แยก 11 แขวงบางขุนศรี เขตบางกอกน้อย กรุงเทพมหานคร 10700 ประเทศไทย,บางขุนศรี,บางกอกน้อย,กรุงเทพมหานคร,2024-03-22 06:43:54.926214+00,รอรับเรื่อง,,0,2024-03-22 06:43:54.907675+00
H9W683,"{เสียงรบกวน,ถนน}","เขตห้วยขวาง,ฝ่ายสิ่งแวดล้อมฯ เขตห้วยขวาง","ปัญหา: ภายในซอยดังกล่าว ผู้ร้องได้รับความเดือดร้อนจากแคมป์คนงานก่อสร้าง โดยในช่วงเวลาตั้งแต่ 05:00 น. จะมีเสียงเร่งเครื่องของรถรับส่งคนงานเป็นประจำทุกวัน และในช่วงเวลา 22:00 น. จะมีการตั้งวงดื่มสุรา ร้องเพลงส่งเสียงดังเป็นบางวัน
ซอย: ประชาอุทิศ 17 (ซอยยอดทอง)
ถนน: ประชาอุทิศ
จุดสังเกต: เข้าไปสุดซอย จะพบแคมป์คนงานอยู่ติดกับคอนโดลุมพินีวิลล์ ศูนย์วัฒนธรรม
เขต: ห้วยขวาง
#1555","100.58378,13.77474",https://storage.googleapis.com/traffy_public_bucket/attachment/2024-03/1711089752071.jpeg,,"Lumpini Ville Cultural Center Building E1, แขวงสามเสนนอก เขตห้วยขวาง กรุงเทพมหานคร 10310 ประเทศไทย",สามเสนนอก,ห้วยขวาง,กรุงเทพมหานคร,2024-03-22 06:42:40.752982+00,รอรับเรื่อง,,0,2024-03-22 06:43:30.896265+00
2024-CR72E4,{สายไฟ},"เขตพญาไท,ฝ่ายโยธา เขตพญาไท",ไม่แน่ใจว่าสายสื่อสาร หรือสายไฟ ตกลงมาค่ะ,"100.55365,13.78893",https://storage.googleapis.com/traffy_public_bucket/attachment/2024-03/0ac39e31a3f497f1dee0eab8a594ed7455fab747.jpg,,อินทามะระ ซอย 7 แขวง สามเสนใน เขตพญาไท กรุงเทพมหานคร 10400 ประเทศไทย,สามเสนใน,พญาไท,กรุงเทพมหานคร,2024-03-22 06:42:34.29258+00,กำลังดำเนินการ,,0,2024-03-22 06:48:55.967204+00
2024-GZFTRV,{},เขตบางรัก,ไม่เรียบ,"100.51780,13.72248",https://storage.googleapis.com/traffy_public_bucket/attachment/2024-03/59a36b616d93d0c1a41a7e5112e0f62d39a378a3.jpg,,1039 ถ.สีลม แขวงสีลม เขตบางรัก กรุงเทพมหานคร 10500 ประเทศไทย,สีลม,บางรัก,กรุงเทพมหานคร,2024-03-22 06:40:10.931646+00,รอรับเรื่อง,,0,2024-03-22 06:40:10.919793+00
HXZP2G,"{กีดขวาง,ถนน}",เขตธนบุรี,"ปัญหา: บริเวณหน้าร้านตัดสูท ติดกับปากซอยเทอดไท 20 พบมีการตั้งร้านหาบเร่แผงลอยจำหน่ายสินค้าบนบาทวิถี ทำให้กีดขวางทางสัญจร
ถนน: เทอดไท
เขต: ธนบุรี
#1555","100.47673,13.72183",https://storage.googleapis.com/traffy_public_bucket/attachment/2024-03/1711089525114.jpeg,,422 ซอย เทอดไท 20 แขวงตลาดพลู เขตธนบุรี กรุงเทพมหานคร 10600 ประเทศไทย,ตลาดพลู,ธนบุรี,กรุงเทพมหานคร,2024-03-22 06:38:54.478847+00,รอรับเรื่อง,,0,2024-03-22 06:38:55.853819+00
BELZJW,"{ท่อระบายน้ำ,คลอง,ร้องเรียน,น้ำท่วม}",เขตบึงกุ่ม,"ศูนย์เรื่องราวร้องทุกข์ ได้รับการประสานผ่านระบบการจัดการเรื่องราวร้องทุกข์ สำนักงานปลัดสำนักนายกรัฐมนตรี ทำเนียบรัฐบาล รหัส นร02660026092 

ขอให้แก้ไขปัญหาท่อระบายน้ำอุดตัน บริเวณ ด้านหน้าบ้านเลขที่ 105/358 ซอยนวมินทร์ 57 แยก 5-1 แขวงนวมินทร์ เขตบึงกุ่ม กรุงเทพมหานคร
รายละเอียดของเรื่อง :
คำร้องจาก Line PSC 1111---#ร้องทุกข์ เรื่องท่อระบายน้ำอุดตันส่งกลิ่นเน่าเหม็นบริเวณ บ้านเลขที่ 105/358 ซอยนวมินทร์ 57 แยก 5-1 ไม่ได้รับการแก้ไข เคยประสานเขตบึงกุ่ม ก็มาดูหน้างานไม่ได้แก้ไข หรือดำเนินการอะไรต้องทนสภาพปัญหาน้ำเน่า กลิ่น จนจะกลายเป็นที่สะสมของเชื้อโรคแล้ว ยิ่งฝนตกหนักน้ำท่วมซอยเหมือนคลอง ท่อระบายน้ำไม่เคยมาลอกท่อ เดือดร้อน

 //หมายเหตุ ปักหมุดที่สำนักงานเขตเพราะไม่สามารถปักละติจูด ลองติจูด ที่
ชัดเจนได้ กรุณาอ่านรายละเอียดสถานที่จากรายละเอียดการแจ้งเป็นหลัก
ศูนย์ฯ ประสานมาเพื่อตรวจสอบและดำเนินการ และโปรดพิจารณาให้ความคุ้มครองผู้ร้องและผู้เกี่ยวข้องอย่าให้ต้องรับภัย หรือความไม่ชอบธรรมอันเนื่องมาจากการร้องเรียน การเป็นพยาน หรือการให้ข้อมูลนั้น  #ศรท  #ศรท1111
#1555 #bkkrongtook","100.66962,13.78535",https://storage.googleapis.com/traffy_public_bucket/attachment/2024-03/1711089527029.jpeg,,สำนักงานเขตบึงกุ่ม ถนน เสรีไทย แขวงคลองกุ่ม เขตบึงกุ่ม กรุงเทพมหานคร : สำนักงานเขตบึงกุ่ม 999 ถ. เสรีไทย แขวงคลองกุ่ม เขตบึงกุ่ม กรุงเทพมหานคร 10230 ประเทศไทย,คลองกุ่ม,บึงกุ่ม,กรุงเทพมหานคร,2024-03-22 06:38:48.650667+00,รอรับเรื่อง,,0,2024-03-22 06:40:02.790477+00
VGX7PL,"{ความปลอดภัย,ถนน}",เขตทุ่งครุ,"ปัญหา: บริเวณตรงข้ามซอยประชาอุทิศ 75 แยก 6 ประชาชนต้องการให้เจ้าหน้าที่ติดตั้งกระจกโค้ง เพื่อความปลอดภัยแก่ผู้สัญจรบริเวณดังกล่าว
ซอย: ประชาอุทิศ 75 แยก 6
ถนน: ประชาอุทิศ
จุดสังเกต: บริเวณตรงข้ามกับร้านสะดวกซื้อเซเว่นอีเลฟเว่น
เขต: ทุ่งครุ
#1555","100.50462,13.63721",https://storage.googleapis.com/traffy_public_bucket/attachment/2024-03/1711089467997.jpeg,,37 ซอย ประชาอุทิศ 75 แขวงทุ่งครุ เขตทุ่งครุ กรุงเทพมหานคร 10140 ประเทศไทย,ทุ่งครุ,ทุ่งครุ,กรุงเทพมหานคร,2024-03-22 06:37:49.746962+00,รอรับเรื่อง,,0,2024-03-22 06:37:51.361503+00
2024-B7V3MV,"{ต้นไม้,ทางเท้า,ร้องเรียน}",เขตดินแดง,แจ้งถึงเทศกิจเขตดินแดง กรณีร้องเรียน เรื่องต้นไม้ วาง เกะกะทางเดิน ทำให้เวลารถถอยหลังเข้าซอย จะลำบาก ที่ซอยประชาสงเคราะห์ซอย 4 แยก 1 สังเกตบ้านที่มีรถมอเตอร์ไซค์จอด จะมีกระถางต้นไม้วางอยู่หน้าบ้าน แต่มันล้ำออกมา ตรงทางเดิน อยากให้ทางเทศกิจมาดำเนินการด้วย,"100.55957,13.76378",https://storage.googleapis.com/traffy_public_bucket/attachment/2024-03/1a31da7b78d874d7e460fd0b22a3410366a77601.jpg,,479/419 ถนน ประชาสงเคราะห์ แขวง ดินแดง เขตดินแดง กรุงเทพมหานคร 10400 ประเทศไทย,ดินแดง,ดินแดง,กรุงเทพมหานคร,2024-03-22 06:36:35.139817+00,รอรับเรื่อง,,0,2024-03-22 06:36:35.126822+00
HMGL84,"{ท่อระบายน้ำ,ถนน}","เขตพระนคร,ฝ่ายโยธา เขตพระนคร","ปัญหา: ภายในซอยดังกล่าว บริเวณศาลเจ้าแม่สาวิตรี พบท่อระบายน้ำอุดตัน ประสงค์ให้เจ้าหน้าที่เข้าไปขุดลอกท่อระบายน้ำ 
ซอย: พระยาศรี
ถนน: เฟื่องนคร
จุดสังเกต: เข้าซอยมาประมาณ 100 เมตร 
เขต: พระนคร
#1555","100.49684,13.74821",https://storage.googleapis.com/traffy_public_bucket/attachment/2024-03/1711089117339.jpeg,,146 ซอย พระยาศรี แขวงวังบูรพาภิรมย์ เขตพระนคร กรุงเทพมหานคร 10200 ประเทศไทย,วังบูรพาภิรมย์,พระนคร,กรุงเทพมหานคร,2024-03-22 06:31:58.931784+00,รอรับเรื่อง,,0,2024-03-22 06:40:41.935935+00
2024-6WLGGF,"{กีดขวาง,จราจร}",เขตคลองเตย,จอดรถกีดขวางการจราจร รถติดยาวตลอดเส้นพระราม 4 หน้าคลองเตย,"100.56215,13.71880",https://storage.googleapis.com/traffy_public_bucket/attachment/2024-03/f10998fa98bef26629fe424a9d4a4618c6080241.jpg,,1604 ถ. พระรามที่ ๔ แขวงคลองตัน เขตคลองเตย กรุงเทพมหานคร 10110 ประเทศไทย,คลองเตย,คลองเตย,กรุงเทพมหานคร,2024-03-22 06:29:08.340304+00,รอรับเรื่อง,,0,2024-03-22 06:29:08.328011+00
2024-D3WRG9,{กีดขวาง},"เขตบางพลัด,สน.บางยี่ขัน,สำนักงานตำรวจแห่งชาติ (Royal Thai Police),กองบัญชาการตำรวจนครบาล (บช.น.),กองบังคับการตำรวจนครบาล 7 (บก.น.7)",รถบัสจอดบนถนน พื้นที่ห้ามจอด,"100.48953,13.77203",https://storage.googleapis.com/traffy_public_bucket/attachment/2024-03/cc142a25a0297d6b71d45a86821a4e106f1bc237.jpg,,39 จรัญสนิทวงศ์ แขวงบางยี่ขัน เขตบางพลัด กรุงเทพมหานคร 10700 ประเทศไทย,บางยี่ขัน,บางพลัด,กรุงเทพมหานคร,2024-03-22 06:28:10.037921+00,กำลังดำเนินการ,,0,2024-03-22 06:37:18.285141+00
WFWWJ8,"{ถนน,คลอง,น้ำท่วม}","เขตยานนาวา,ฝ่ายโยธา เขตยานนาวา","ปัญหา: บริเวณคลองใหม่ ประสงค์ให้หน่วยงานที่เกี่ยวของเข้ามาขุดลอกคลอง เนื่องจากใกล้เข้าหน้าฝนเกรงว่าจะเกิดน้ำท่วมขัง
ถนน: ยานนาวา 
จุดสังเกต: ตรงข้ามร้านอาหาร ติดมันส์ พระราม 3
(ถนนตัดใหม่สาธุประดิษฐ์-พระราม3) สุดทางซอยนาคสุวรรณ
เขต: ยานนาวา
#1555","100.53818,13.68462",https://storage.googleapis.com/traffy_public_bucket/attachment/2024-03/1711088872280.jpeg,,MGMQ+V7P ถนน ยานนาวา แขวงบางโพงพาง เขตยานนาวา กรุงเทพมหานคร 10120 ประเทศไทย,ช่องนนทรี,ยานนาวา,กรุงเทพมหานคร,2024-03-22 06:27:53.854492+00,รอรับเรื่อง,,0,2024-03-22 06:39:58.807822+00
NVGMAV,"{เสียงรบกวน,ร้องเรียน}","เขตคลองสามวา,ฝ่ายสิ่งแวดล้อมฯ เขตคลองสามวา","ศูนย์เรื่องราวร้องทุกข์ ได้รับการประสานผ่านระบบการจัดการเรื่องราวร้องทุกข์ สำนักงานปลัดสำนักนายกรัฐมนตรี ทำเนียบรัฐบาล รหัส นร02670006014 

อ้างอิงเลขที่รับแจ้ง KY9VWN

ขอให้แก้ไขปัญหาเสียงดังรบกวนจากเครื่องคอมเพรสเซอร์แอร์ บริเวณ บ้านเลขที่ 4/75 หมู่บ้านสุขหทัย ซอยหทัยราษฎร์ 37 แขวงสามวาตะวันตก เขตคลองสามวา กรุงเทพมหานคร
คำร้องจาก Line PSC 1111---#แจ้งเหตุ แจ้งปัญหาเสียงคอมเพรสเซอร์แอร์ห้องเย็น ข้างหลังบ้าน ซึ่งเป็นโรงงานผลิตอาหารและห้องเย็น เสียงของคอมเพรสเซอร์ ดังมาทางหลังบ้าน ดังเข้ามาในบ้าน ได้ยินถึงรั้วหน้าบ้านผู้เดือดร้อน ซึ่งมีคนแก่และเด็กอาศัยอยู่ อยากให้เจ้าหน้าที่ที่เกี่ยวข้องหรือสำนักงานเขต เข้ามาดู ช่วยเข้ามาแก้ปัญหาให้หน่อย บ้านต้นเหตุบ้านเลขที่ 4/75 หมู่บ้านสุขหทัย ซอยหทัยราษฎร์ 37
//วันที่ 22 มีนาคม 2567 ผู้ร้องเพิ่มเติมข้อมูล  (รายละเอียดตามเอกสารแนบ) เนื่องจากปัจจุบันปัญหาเสียงคอมเพรสเซอร์ ข้างหลังบ้าน ดังเข้ามาในบ้าน ดังถึงหน้าบ้าน ซึ่งเขาเปิดทั้งวันทั้งคืน เคยแจ้งไปรอบนึงแล้ว ไม่ได้รับการแก้ไข

 //หมายเหตุ ปักหมุดที่สำนักงานเขตเพราะไม่สามารถปักละติจูด ลองติจูด ที่
ชัดเจนได้ กรุณาอ่านรายละเอียดสถานที่จากรายละเอียดการแจ้งเป็นหลัก
ศูนย์ฯ ประสานมาเพื่อตรวจสอบและดำเนินการ และโปรดพิจารณาให้ความคุ้มครองผู้ร้องและผู้เกี่ยวข้องอย่าให้ต้องรับภัย หรือความไม่ชอบธรรมอันเนื่องมาจากการร้องเรียน การเป็นพยาน หรือการให้ข้อมูลนั้น  #ศรท  #ศรท1111
#1555 #bkkrongtook","100.70419,13.85998",https://storage.googleapis.com/traffy_public_bucket/attachment/2024-03/1711088769573.jpeg,,สำนักงานเขตคลองสามวา ถนน เลียบคลองสอง แขวงบางชัน เขตคลองสามวา กรุงเทพมหานคร : 111 ถนน เลียบคลองสอง แขวงบางชัน เขตคลองสามวา กรุงเทพมหานคร 10510 ประเทศไทย,บางชัน,คลองสามวา,กรุงเทพมหานคร,2024-03-22 06:26:11.182662+00,รอรับเรื่อง,,0,2024-03-22 06:28:38.082117+00
2024-HWTE9Y,{ถนน},"เขตสัมพันธวงศ์,ฝ่ายโยธา เขตสัมพันธวงศ์",พื้นถนนขุระขระ แตก,"100.50632,13.74212",https://storage.googleapis.com/traffy_public_bucket/attachment/2024-03/f8a2cd6d83aee2cc552484bb2adbf0d33984de58.jpg,,299 ซ เยาวราช 31 แขวงจักรวรรดิ์ เขตสัมพันธวงศ์ กรุงเทพมหานคร 10100 ประเทศไทย,จักรวรรดิ,สัมพันธวงศ์,กรุงเทพมหานคร,2024-03-22 06:25:06.286954+00,รอรับเรื่อง,,0,2024-03-22 06:26:10.787848+00
